DE,RO,EN
stornieren,Anulare,cancel
argus,Argus.,argus
chao,Chao.,chao
kovacs,Kovac.,kovac
coopers,Coopers.,Coopers
methan,metan,methane
körperkontakt,Contact de corp,body contact
ausnahmezustand,stare de urgență,state of emergency
relaxen,Relaxați-vă,relax
bri,Bri.,Bri
ny,NY.,ny
androide,Androide.,Androide
jehovas,Iehova,Jehovah
qualm,fum,smoke
marlow,Marlow.,Marlow
knows,Știe,knows
schottische,scoţian,Scottish
umleitung,ocol,detour
felsbrocken,bolovan,boulder
mighty,puternic,mighty
biographie,biografie,biography
stech,stând.,sting
anzutreffen,întâlni,encounter
mokka,Mochha.,mocha
rückschläge,regres,setback
auster,stridie,oyster
momentchen,Cuplu,torque
naina,Naina.,Naina
explosive,exploziv,explosive
zersplittert,splinted.,splintered
uptown,Uptown.,Uptown
hurt,rănit,hurt
gestrige,ieri,yesterday
laien,stau,lay
kapitäns,căpitan,captain
wg,Wg.,WG
verbring,pinten,spur
nanni,Nanni.,nanni
rave,rave,rave
inhalator,inhalator,inhaler
umzustimmen,vot,vote
hochzeitsfeier,petrecere de nuntă,wedding party
kartenspielen,carti de joc,playing cards
pforten,Poartă,gate
rosmarin,rozmarin,rosemary
jubelrufe,jubilare,jubilation
süßkartoffeln,cartof dulce,sweet potato
tiefstes,Deepest,deepest
angemessenes,potrivit,appropriate
breck,Breck.,Breck
petja,Petja.,petja
konföderierten,Confederatul,Confederate
trampeln,Trample.,trample
kunstform,forma de arta,art form
errungenschaft,realizare,achievement
einbilden,imagina,imagine
colonna,Colonna.,Colonna
lesbischen,lesbiene,lesbian
prospekt,broşură,brochure
leut,urmărire,pursuit
näherkommen,Vino mai aproape,come closer
sorgsam,cu grija,carefully
verneigen,Arc,Bow
logis,Logis.,logis
kreuzes,traversa,cross
gehilfen,deal,hill
ostsee,Marea Baltica,Baltic Sea
schlachtschiff,Vas de război,Battleship
abfangkurs,curs intensiv,crash course
mattias,Mattias.,mattias
würdenträger,demnitari,dignitaries
unzurechnungsfähigkeit,Uninformabilitatea,uninformability
avatare,avatare,avatars
rausgefallen,înrădăcinată,rooted
belmont,Belmont.,Belmont
hauptgang,Cursul principal,main course
ergänzung,completa,complement
mafioso,Mafioso.,mafioso
schlachtet,sacrificare,slaughter
stand-by,așteptare,stand-by
stundenplan,Orar,Timetable
whale,balenă,whale
rollie,roller.,roller
hiob,Loc de munca,Job
staatsbürgerschaft,cetățenie,citizenship
rebelliert,rebellizat,rebelled
henny,Henny.,henny
exakten,corect,exact
telefonleitungen,linii telefonice,telephone lines
bisserl,Biserl.,biserl
unmissverständlich,inconfundabil,unmistakable
maclaren,MaclaRaren.,Maclararen
pensionierter,retras,retired
reales,real,real
bluffst,cacealma,bluff
rüsten,Echipa,equip
probefahrt,Test Drive.,test drive
begräbt,îngropat,buried
stromrechnung,factura de energie electrică,electricity bill
atomkraftwerk,centrală nucleară,nuclear power plant
entwaffnet,dezarma,disarm
griechischer,Grec,Greek
weilen,fi,be
chrysler,Chrysler.,chrysler
fähigen,capabil,capable
pantomime,mima,mime
zwecken,scopuri,purposes
platzierte,plasat,placed
sim-karte,card SIM,SIM card
golem,golem.,golem
eriksson,Eriksson.,Eriksson
festigen,consolida,consolidate
beleidigte,insultat,insulted
mccluskey,Mccluskey.,McCluskey
taubstumm,Surd,deaf
nostalgisch,nostalgic,nostalgic
schliff,a tăia,cut
satellitentelefon,satelit,satellite
häuslich,domesticitate,domesticated
amal,amal.,amal
bloßzustellen,expune,expose
meningitis,meningită.,meningitis
mongo,Mongo.,Mongo
sediert,potolit,sedate
brennst,combustibil,fuel
lace,dantelă,lace
investment,Investiții,investment
ärztlichen,medical,medical
ostflügel,aripa de est,east wing
import,import,import
kendal,Kendal.,kendal
nachlesen,citit,read
attacken,atac,attack
spazierte,a mers,walked
pongo,Pongo.,pongo
medea,medea,medea
kirmes,Fair.,fair
mündliche,oral,oral
lausche,asculta,listen
besoffene,beat,drunk
nährstoffe,nutrient,nutrient
wehmütige,masculin,masculine
verwurzelt,înrădăcinată,rooted
laborergebnisse,Rezultate de laborator,laboratory results
edge,margine,edge
rumgefahren,rom,rum
externen,extern,external
koreanische,coreeană,Korean
nöten,purta,wear
pargalı,Pargalı.,pargalı
pawel,laba,paw
kemal,Kemal.,kemal
verzicht,Renunțare,waiver
realer,real,real
tanke,rezervor,tank
konfetti,confeti,confetti
unabsichtlich,fara intentie,unintentionally
munkelt,A mea,mine
instituts,institut,institute
ladegerät,încărcător,charger
ausdehnen,extinde,expand
begebe,Quest.,quest
chalmers,Chalmers.,chalmers
wegzurennen,pune deoparte,put away
bleichmittel,albire,bleach
moser,Moser.,Moser
nerz,nurcă,mink
häuslicher,intern,domestic
kebab,kebab,kebab
eigens,special,specially
bettle,Bakle.,bedle
rührte,agitat,stirred
services,SERVICII,SERVICES
ekelt,excentric,eccentric
verschissenen,format,shaped
betriebssystem,sistem de operare,operating system
silben,silabă,syllable
indianische,indian,Indian
coral,coral,coral
zusammengeflickt,lins,licked
oops,Oops,oops
erstgeborenen,întâi născut.,firstborn
pieper,bip,beep
torheit,nebunie,folly
aufrollen,rulează,roll up
hershel,Hershel.,hershel
schandfleck,pete,stain
projizieren,proiect,project
widerlegt,respins,refuted
kimono,chimono,kimono
vorbeugen,împiedica,prevent
stoßt,Bara de protecție,bumper
hellraiser,Rafturi ușoare,light rack
krassen,cras,crass
gesinnung,atitudine,attitude
figueroa,Figuero.,figuero
urinieren,urina,urinate
schmitz,Schmitz.,Schmitz
königshaus,Royal House.,royal house
droide,droid.,droid
jughead,Jugead.,jugead
erwürge,ciudat,strangeness
mustangs,Mustangs.,Mustangs
eindämmen,bordură,curb
einsatzzentrale,Centrul Operațional,operational center
tendenzen,tendinţă,tendency
kiesel,pebble.,pebble
beyoncé,Beyoncé.,Beyoncé
gedichten,poezii,poems
erneute,reînnoi,renew
awards,Premii,awards
sigmund,Sigmund.,Sigmund
geflickt,închiriat,leased
einsatzes,misiune,mission
bluthochdruck,tensiune arterială crescută,high blood pressure
connelly,Connelly.,connelly
kriegsministerium,Ministerul,ministry
loswerde,scapă de,get rid of
verstümmeln,mutila,mutilate
pasteten,pateu,pate
sandoval,Sandoval.,sandoval
überschrift,titlu,headline
pionier,pionier,pioneer
folsom,Folsom.,folsom
schützengraben,şanţ,trench
dulles,Dulles.,dulles
anmerkung,adnotare,annotation
kosmetik,produse cosmetice,cosmetics
aufsätze,Eseuri,Essays
unüberlegt,incert,uncertain
rauszubekommen,iesi afara,get out
liberale,liberal,liberal
streichelt,Strângerea,stroking
frechen,obraznic,cheeky
corrigan,Corrigan,Corrigan
anzukämpfen,îmbracă,put on
flughöhe,Înălțimea zborului.,flight height
großonkel,Unchiul mare.,big uncle
reservoir,rezervor,reservoir
ursprungs,origine,origin
knallte,bangajat,banged
doppelzimmer,camera dubla,double room
elektroschocker,soc electric,electric shock
wickie,Wickie.,wickie
zathras,zathras.,zathras
sopranos,Soprana.,soprano
augenklappe,plasture de ochi,eye patch
wharton,Wharton.,Wharton
bekanntgabe,anunţ,announcement
pute,curcan,turkey
trotter,încredere,trust
erpresste,a erupt.,erupted
hausgemachte,de casă,homemade
frisco,Frisco.,Frisco
crocker,Crocker.,crocker
eastern,Est,east
raubüberfälle,jaf,robbery
wegläufst,trage,drag
vollkommenheit,perfecţiune,perfection
erkauft,el cumpara,he buys
konventionen,Convenții,conventions
seriennummern,numere de serie,serial numbers
jammerst,gem,jam
véronique,Véronaque.,véronique
niedergelassen,stabilit,settled down
sunrise,răsărit,sunrise
armada,Armada,armada
kazuo,Kazo.,kazo
trail,traseu,trail
taschenlampen,Lanterne,flashlights
massakriert,masacred,massacred
volumen,volum,volume
wanken,Waver.,waver
pookie,Pookie.,pookie
rumgehangen,balamale,hinged
stutzen,a sustine,support
buongiorno,Bugiorno.,Buongiorno
paine,Paine.,Paine
jochen,Jochen.,jochen
unterstützten,a sustine,support
irgendwelches,orice,any
fertige,terminat,finished
entlocken,obține,elicit
titanen,Titans.,Titans
anämie,anemie,anemia
strolche,izbitoare,striking
gutaussehenden,frumos,handsome
schnickschnack,bibelouri,frills
aufgezwungen,impuse,imposed
eizellen,Ova.,ova
skype,Skype.,Skype
kinsey,Kinsey.,kinsey
kommissariat,comisariat,commissariat
fündig,fondator,founding
einreiben,freca,rub
organisch,organic,organic
tapetenwechsel,Schimbarea schimbării tapetului,changing wallpaper change
primären,primar,primary
kontroverse,controversă,controversy
kniescheibe,genunchi,knee
anzurichten,îmbracă,put on
kilian,kiliană,kilian
holle,iad,hell
achso,Înțeleg,I see
begierden,dorință,desire
belgische,Belgian,Belgian
woodstock,Woodstock.,Woodstock
verkörperung,întrupă,embodiment
voraussichtlich,probabil,probably
women,pântec,womb
amputation,amputare,amputation
robyn,Robery.,robery
triple,triplu,triple
wandten,turn,turn
golfer,jucător de golf,golfer
menschenkenntnis,cunoașterea umană,human knowledge
gehustet,tuse,cough
silo,siloz,silo
hurenbock,curve,whores
kreises,cerc,circle
ökosystem,ecosistem.,ecosystem
khans,Khan's.,Khan's
opferst,sacrificiu,sacrifice
herumkommandieren,laud.,commend
aufrechter,în poziție verticală,upright
flanken,flanc,flank
ausseht,atenție,look out
schwanken,varia,vary
scharfrichter,papuc,slipper
mistding,Misting,mistding
vermißt,dispărut,missing
deej,Deej.,Deej
mündung,gură,mouth
andacht,devotament,devotion
hochladen,Încărcați,upload
unkonventionell,neconvențional,unconventional
wortschatz,vocabular,vocabulary
abbys,abaţie,abbey
künstlerischen,artistic,artistic
traumatische,traumatic,traumatic
arbeitsstelle,loc de munca,place of work
vasek,vază,vase
capra,Capra.,Capra
telefonierst,apel,call
azteken,aztec.,aztec
pizzas,pizza,pizza
gepaart,pereche,paired
bare,neizolat,bare
malick,Malick.,malick
aufgewärmt,încălzire,warm-up
hoffnungslosen,fara speranta,hopeless
ludlow,Ludlow.,Ludlow
ivar,Ivar,Ivar
wiederkam,întors,returned
impfungen,vaccinare,vaccination
schläfer,vagon de dormit,sleeper
minigolf,Mini Golf.,mini golf
empathie,empatie,empathy
deserteure,dezertor,deserter
eingekreist,circular,circled
pernille,Pernille.,Pernille
beliebtheit,popularitate,popularity
weiã,alb,white
verständige,informa,inform
zerstückeln,alunecare,slip
ausdrückt,expres,express
holtz,Holtz.,Holtz
zebras,zebră,zebra
besinnen,tine minte,remember
kognak,coniac,cognac
informantin,informator,informant
totschlags,omor prin imprudenţă,manslaughter
squaw,Squaw.,squaw
satine,satină,satine
dürr,Dürr.,Dürr
begeisterter,entuziast,enthusiastic
vermassle,plasă,mesh
formeln,formula,formulate
verschwörungen,conspiraţie,conspiracy
hoskins,Hoskins.,Hoskins
kana,cana.,cana
ertappen,captură,catch
tanger,TANG.,tang
pressemitteilung,comunicat de presa,press release
heizt,încălzit,heated
mitzuhalten,a pastra,keep
satzung,statut,statute
vorbeigeschaut,a trecut de,passed by
rehabilitieren,reabilitarea,rehabilitate
druckwelle,Wave de presiune,pressure wave
komplexität,complexitate,complexity
pools,Piscine,pools
weiterzuziehen,trageți,pull on
hatch,Hatch.,hatch
weggepustet,jalnic,pathetic
gaylord,Gaylord.,Gaylord
anlässe,ocazii,occasions
abkürzungen,Abrevieri,abbreviations
weltreise,World Travel,World Travel
keuschheit,castitate,chastity
notstand,De urgență,Emergency
kopfhaut,scalp,scalp
lauderdale,Lauderdale.,Lauderdale
dezent,discret,discreet
stubenarrest,Stubdenarrest,stubenarrest
bow,arc,bow
kostenvoranschlag,Cost estimat,Cost estimate
magnetfeld,camp magnetic,magnetic field
zeigs,spectacol,show
garret,Pod,Garret
durchgeknallter,bangajat,banged
zweifelsfrei,fără îndoială,doubtless
producer,producător,producer
pollo,sondaj,poll
vernebelt,arogant,overbearing
defekten,defect,defective
kaye,Kaye.,kaye
ferse,toc,heel
großmütig,mărinimos,magnanimous
verpfändet,angajat,pledged
naniten,Nanite.,nanite
sandkasten,Sandbox.,sandbox
rankommt,la pachet,take away
einzudämmen,bordură,curb
liesl,Liesl.,liesl
biste,Bisen.,bisen
vertickt,curios,curious
nordsee,Marea Nordului,North Sea
ishmael,Ishmael.,Ishmael
mano,mano.,mano
todesliste,Lista de morți,death list
profikiller,profesionist,professionalist
farr,Farrow.,farrow
jagger,jagger.,jagger
empfindlichen,sensibil,sensitive
rühreier,scrambler.,scrambler
sicherheitskamera,camera de securitate,security camera
vorgetragen,prezent,present
solides,Solid,Solid
ständiges,constant,constant
pelham,Pelham.,pelham
blutwurst,SÂNGERETE,blood sausage
merkmal,caracteristică,characteristic
selbstbeherrschung,control de sine,self-control
nuck,nuclear,nuclear
iranischen,iranian,Iranian
olympische,olimpic,Olympic
padawan,Padawan.,Padawan
schrilles,strident,shrill
mmmh,Mmm.,mmm
fixer,fixer.,fixer
ersatzmann,Omul de rezervă,spare man
weihnachtsabend,Ajunul Craciunului,Christmas Eve
wilfried,Wilfried.,Wilfried
sur,Sur,sur
transferiert,Transferuri,transfers
ängstliche,fricos,fearful
weglocken,ispitire,lure
stamper,bâlbâi,stammer
erstarren,Stare,stare
toppen,cadă,tub
südfrankreich,Franța de Sud.,South France
yoon,yoon.,yoon
anzuzeigen,indica,indicate
schadensbegrenzung,prescripţie,limitation
schädigen,deteriora,damage
roach,babuşcă,roach
metz,Metz.,Metz
hausarbeiten,Teme pentru acasă,Homework
ernannte,numit,named
abgeblieben,coboară,come down
einheimischer,nativ,native
tyrion,Tyrion.,Tyrion
kehlkopf,laringe,larynx
heimkommst,Vino acasa,come home
glänzender,lucios,glossy
takte,bar,bar
blanca,Blanca.,Blanca
ärmer,mai sărac,poorer
verdächtigungen,suspiciune,suspicion
indianapolis,Indianapolis.,Indianapolis
wesson,Wesson.,wesson
lebensqualität,calitatea vieții,life quality
conlon,Conton.,Conlon
stafford,Stafford.,Stafford
kastanien,castan,chestnut
hausherr,gazdă,host
massenweise,masa,mass
befreiten,elibera,liberate
massa,Massa.,massa
abtrennen,împărțit,split off
vorzug,preferinţă,preference
empfängst,destinatar,recipient
auserkoren,conversație,chat
anspringen,Porniți un motor,start an engine
polka,Polka.,polka
republikanischen,Republican,Republican
nachfolgerin,succesor,successor
redakteurin,editor,editor
zuschuss,acorda,grant
tout,TOUT.,tout
gitarren,chitară,guitar
weekly,Săptămânal,Weekly
anfängerglück,începător,beginner
rettungskapsel,Capacul de salvare,rescue cap
musikalischen,muzical,musical
lindbergh,Lindbergh.,Lindbergh
leibesvisitation,Expertiză fizică,physical expertise
rollbahn,pistă de decolare,runway
hamish,Hamish.,Hamish
dackel,dachshund.,dachshund
darlegen,Stai,lay out
fandet,Fântână,fountain
füllst,completati,fill
zusammengehören,aparțin împreună,belong together
bwana,bwana.,bwana
todesfalle,capcană mortală,death trap
schmerzhafter,dureros,painful
lachhaft,ridicol,laughable
mörser,mortar,mortar
shauna,Shauna.,Shauna
dreikäsehoch,triunghi,triangle
loses,liber,loose
yet,inca,yet
ramme,Berbec,ram
zurückzunehmen,ia înapoi,take back
schwindlerin,ameţeală,dizziness
santini,Santini.,Santini
barnaby,Barnaby.,barnaby
catch,captură,catch
anjali,Anjali.,Anjali
drinsteht,intra,go into
purem,pur,pure
sauren,acru,sour
aufhebung,abrogare,repeal
mitspracherecht,co-spune,co-saying
kriegsverbrecher,război criminal,war criminal
onkelchen,unchiul,uncle
gefährdete,pe cale de dispariție,endangered
killern,ucide,kill
emp,EMP.,EMP
abgewickelt,la indemana,handy
trav,Travid,travid
ferg,Ferg.,ferg
meinetwillen,dragul meu,my sake
lazlo,Lazlo.,Lazlo
ce,CE.,CE
croissant,croissant,croissant
apparate,aparat,apparatus
anhabe,cârlig,hook
unvergleichlich,fără meci,matchless
auswertung,evaluare,evaluation
drogenmissbrauch,abuzul de droguri,drug abuse
hakim,Hakim.,hakim
amar,Amar.,amar
bestattungsinstitut,Institutul de Divertisment,entertainment institute
erdoberfläche,suprafața pământului,earth surface
erachtet,considerat,considered
erschaffer,creator,creator
einfachheit,simplitate,simplicity
deux,Deux.,Deux
alphabetisch,Alfabetic,Alphabetical
nervenklinik,Clinica nervoasă,nerve clinic
hauptbahnhof,Gara Centrală.,Central Station
stuss,Ward.,ward
chérie,Chérie.,chérie
szenarien,scenarii,scenarios
zurückweisung,respingere,rejection
katrine,Katron.,katron
fruit,fructe,fruit
y.,Y.,Y.
stürmische,furtunos,stormy
teekanne,ceainic,teapot
autors,autor,author
beherrschst,domină,domine
gusto,bucurie,gusto
handfestes,rezistent la mana,handproof
dramatik,dramă,drama
halsey,Halsey.,halsey
silberner,argint,silver
registrierte,înregistrată,registered
grabsteine,Pietre funerare,tombstones
spendenaktion,Fundraiser,Fundraiser
mouse,mouse,mouse
idefix,Idefix.,Idefix
faszinieren,fascina,fascinate
darts,darts.,darts
leert,gol,empty
mozzie,Mozzie.,mozzie
dorftrottel,sat,village
gebrauchtwagen,mașini la mâna a doua,used cars
logistik,logistică,logistics
vu,vu.,vu
gu,Gu,GU
spezifische,specific,specific
hutmacher,Hatmaker.,hatmaker
x-akten,Fisierele X,X-files
pal,Pal.,pal
zeichensprache,Limba de caractere,character language
beschneidung,tăiere,clipping
pendleton,Pendleton.,pendleton
alkoholikern,alcoolic,alcoholic
guinevere,Guinvere.,Guinvere
sonderkommando,Unitate de comandă specială,special command unit
mildernde,atentat,mitigate
hiebe,căţea,bitch
klärchen,clarifica,clarify
stricher,mai strict,stricer
kapitäne,căpitan,captain
angemalt,pictat,painted
nachspioniert,după aceea,afterwards
schwadron,escadron,squadron
carls,Carls.,Carls
drangen,penetrează,penetrate
mm-mm,Mm-mm.,MM-MM
verschärft,agravat,aggravated
janeiro,Janeiro.,Janeiro
mirror,oglindă,mirror
presst,presa,press
absurden,absurd,absurd
arch,arc,arch
augenweide,ochi,eyes
scheißtag,Ziua rahaturilor,shit day
romantischste,romantic,romantic
bran,Tărâţe,Bran
betrügereien,fraudă,fraud
canal,canal,canal
konsumiert,consumate,consumed
unschöne,inestetic,unsightly
eskimos,Eskimos.,Eskimos
unterkühlung,subcooling.,subcooling
gesamtbild,imagine totală,overall picture
koen,Koen.,koen
eheberatung,consilierea căsătoriei,marriage counseling
familienmensch,familist,family Guy
bauchmuskeln,mușchi abdominali,abdominal muscles
zeitspanne,Perioada de timp,Period of time
erotik,erotism,eroticism
veranstalte,organiza,organize
loszulegen,incepe,get started
entgegenkommend,care se apropie,oncoming
laufsteg,Catwalk.,catwalk
korrumpiert,corupt,corrupted
zusammenwohnen,Locuiesc împreună,Living together
einzuleiten,iniţia,initiate
sandro,Sandro.,sandro
boggs,Boggs.,boggs
raserei,furie,rage
katerina,Katerina.,katerina
verkrafte,Craft,craft
mikrochip,Microchip.,microchip
tätigkeiten,Activități,activities
tarek,Tarek.,Tarek
riesensache,gigant,giant
marlin,Marlin.,marlin
aufsteigt,în creștere,rising
verbindungsmann,Conectarea omului,connecting man
kohlenstoff,carbon,carbon
coca-cola,Coca-Cola,Coke
abtrünnig,renegat,renegade
miesepeter,Miesenpeter.,miesenpeter
vibration,Vibrații,vibration
gruseliges,infricosator,scary
absturzstelle,Crash.,crash
montiert,asamblate,assembled
goldgrube,groapă de aur,gold pit
topform,Forma de sus,top form
rücklicht,Stop,Taillight
elkins,Elkins.,Elkins
harv,Harv.,Harv
nötiger,necesar,necessary
grodd,Grodd.,Grodd
proust,Prost.,Proust
gloucester,Gloucester.,gloucester
liber8,Liber8.,Liber8
einstudiert,a repetat,rehearsed
geheimnisvolles,misterios,mysterious
camaro,Camaro.,Camaro
portia,Portia.,portia
ungleichgewicht,dezechilibru,imbalance
zeremonien,ceremonii,ceremonies
törichte,prostesc,foolish
neuester,cele mai recente,latest
aushältst,inventa,make up
beschlagnahme,Seizure,seizure
muttersprache,limba materna,native language
umständlich,laborios,laborious
flachwichser,Flatwichser.,flatwichser
handflächen,palmier,palm
bunk,Bunk.,bunk
hinzugezogen,adăugat,added
tabelle,masa,table
geschosse,Gloanțe,Bullets
stavros,Stavros.,Stavros
dreihundert,trei sute,three hundred
dutzenden,zeci de ani,dozens
gedränge,Hustle.,hustle
wirbelsturm,uragan,hurricane
bunter,mai colorat,more colorful
vergessene,uitat,forgotten
schatzes,comoară,treasure
musikern,Muzicieni,musicians
speisewagen,Vagon-restaurant,Dining car
piero,Piero.,piero
versicherungspolice,polita de asigurare,insurance policy
psychos,Psihosul,psychos
allererst,primul,first
erwärmt,încălzit,heated
mikroben,Microbii.,microbes
entpuppt,dezamăgit,disappointed
zeitlos,Fără timp,Timeless
quan,Quan.,Quan
getrocknete,uscat,dried
mitschreiben,scrie,write
delta-quadranten,Delta Quadrantul,Delta quadrant
verpaßt,pierdut,lost
zeitschleife,buclă de timp,time loop
scarraner,Scaran,Scaran
prügeleien,sângerare,bleeding
geleugnet,negat,denied
landesweite,la nivel național,nationwide
verrenkt,dislocat,dislodden
schwenkt,leagăn,swing
einschleusen,Smear,smear
odette,Odette,Odette
ablecken,Lick off.,lick off
versaue,prudență,caution
besserem,mai bine,better
weitergekommen,progresul,progress
gesundheitsbehörde,Autoritatea de Sănătate,health authority
rémy,Rémy.,Rémy
brate,Brade.,brade
ordnet,pune sus,put up
überbringt,aduce,brings
modifikationen,Modificări,modifications
radiologie,radiologie,radiology
flugangst,frică de zbor,fear of flying
anlässlich,cu ocazia,on the occasion
abner,Aber.,aber
beseitigung,eliminare,elimination
hausschlüssel,Casa cheie.,house key
hulot,Hulot.,Hulot
halbiert,înjumătățit,halved
tapferste,Rulvest.,bravest
zuziehen,mișcare,move
marrakesch,Marrakech.,Marrakech
säue,şoim,hawk
sommertag,zi de vara,summer day
fegt,mătura,sweep
schmuggelte,contrabandă,smuggled
dim,Dimdă,Dim
norah,Norah.,Norah
stuhlgang,mișcarea intestinului,bowel movement
thom,Thom.,thom
anrührst,agitând,stirring
sousa,Sousa.,sousa
herumtreiber,Prowler.,Prowler
laptops,laptop-uri,laptops
bedingungslose,necondiţionat,unconditional
cane,Baston,Cane
unwahr,neadevărat,untrue
niederschlagen,doborî,knock down
entführe,abdicare,abdication
quartett,cvartet,quartet
bequemlichkeit,Confort,Convenience
richfield,Richfield.,Richfield
lautstark,tare,loudly
essay,eseu,essay
arroganten,arogant,arrogant
erarbeiten,a face exerciții fizice,work out
schummelst,târî,creep
vergreifen,bandă,tape
daley,Dale.,dale
bootes,cizme,boot
grandiose,grandios,grandiose
deirdre,Deirdre.,Deirdre
vollbringt,a executa,perform
verschreibe,conservând,preserving
brass,alamă,brass
u-haft,U-Închisoarea,u-imprisonment
abgeschottet,Chappered,chappered
solider,sunet,sound
sigma,Sigma.,sigma
auges,ochi,eye
ark,Ark.,Ark
schiffbruch,naufragiu,shipwreck
wilda,Wilda.,Wilda
phalanx,falangă,phalanx
dienstes,serviciu,service
piepser,beeper.,beeper
spül,Clătiți,rinse
unternahm,uzat,worn
duff,Duff.,duff
schulfreund,Prietenul școlii,school friend
gefährdest,pericol,hazard
krake,caracatiță,octopus
fighter,luptător,fighter
hiram,Hiram.,hiram
runterkommt,da-te jos,get down
realitäten,realități,realities
medellin,medel.,medel
ame,Ame.,ames
gescheiterten,a eșuat,failed
phelan,PHELAN.,Phelan
cyborgs,Cyborg.,Cyborg
jordanien,Iordania,Jordan
footballteam,echipa de fotbal,football team
konferenzen,Conferințe,conferences
plaît,Pla.,pla
däne,Dane.,Dane
pocahontas,Pocahontas.,Pocahontas
zusammenbrach,a rupt împreună,broke together
gertie,cravată,tie
konvertieren,convertit,convert
gump,gump.,gump
wake,trezi,wake
sturkopf,încăpăţânat,stubborn
ausgedruckt,prețul,priced
catweazle,Catweaf.,Catweaf
mechanisches,mecanic,mechanical
prozentsatz,procent,percentage
lieblingsplatz,loc preferat,favorite place
erfolgreichsten,cel mai de succes,most successful
skippy,Skippy.,skippy
marika,Marika.,Marika
beizutragen,a contribui,contribute
entwarnung,All-clar,all-clear
geschirrspüler,spalator de vase,dishwasher
dafur,Prin urmare,Therefore
verzaubern,încânta,enchant
entfernungen,distanțe,distances
mohamed,Mohamed.,mohamed
mouth,gură,mouth
scudder,Scubat,scudder
harakiri,Harakiri.,harakiri
werdende,așteptat,expectant
friedhöfe,cimitire,graveyards
thermostat,termostat,thermostat
kampfbereit,luptă,fighting
gewaltanwendung,forta,force
duplikat,duplicat,duplicate
seufzend,suspin,sighing
speak,vorbi,speak
malta,Malta,Malta
renoir,Renoir.,renoir
mosca,Mosca.,Mosca
undeutliches,în ceață,blurry
rodin,Rodin.,rodin
gepard,ghepard,cheetah
erfolges,succes,success
datet,Data,date
steinreich,Rich-bogat de piatra,stone-rich
sanjay,Sanjay.,Sanjay
atemnot,scurtarea,shortness
sterbend,moarte,dying
morse,Morse.,Morse
heften,Notă,note
prächtiges,magnific,magnificent
guzman,Guzman.,Guzman
erzherzog,Arhiduce,Archduke
verdrahtet,cu fir,wired
quinlan,Quinlan.,quinlan
firefly,Licurici,Firefly
einschüchternd,intimidant,intimidating
instabilität,instabilitate,instability
zarkon,Zarkon.,zarkon
papageien,papagal,parrot
vorgesungen,guvernare,ruling
verwette,glonţ,bullet
faulenzen,salon în jurul valorii de,lounge around
klarkommst,clar,clear
streift,bandă,strip
beauregard,Beauregard,BeaureGard
lobenswert,laudă,praising
derartigen,astfel de,such
widersteht,a rezista,resist
demütigungen,umilire,humiliation
brechstange,rangă,crowbar
einfallsreichtum,ingeniozitate,ingenuity
angespannte,tensionată,tense
verschlossene,închis,closed
berate,sfat,advice
allergrößte,Cel mai mare,greatest
gefechts,luptă,battle
schmauchspuren,Muttering.,muttering
revolverheld,revolver,revolver
kleinholz,lemn mic.,small wood
wachmänner,Wachmen.,wachmen
paella,Paella.,Paella
gilroy,Gilroy.,gilroy
smee,Smee,Smee
verwest,îngrijorat,worried
deinetwillen,dorință,desire
schmerzensschreie,țipând,screaming
making,făcând-o.,making
birdy,Birdy,birdy
artikels,articol,article
kontinente,continent,continent
backup,Backup.,backup
abschrift,copie,copy
gefäße,navă,vessel
gepäckträger,suport pentru bagaje,luggage rack
burning,ardere,burning
danni,atunci,then
kleidungsstücke,haine,clothes
backstage,de culise,backstage
unterhändler,negociator,negotiator
mcginty,McGinty.,mcginty
titelblatt,Pagina titlu,title page
sprenge,molid,spruce
ethisch,etic,ethically
marilla,Marilla.,marilla
manila,Manila,manila
tierärztin,medic veterinar,veterinarian
vernichtete,distrus,destroyed
knew,S-au cunoscut,knew
gupta,Gupta.,Gupta
grog,grog,grog
hinterlegen,depozit,deposit
häufigsten,cel mai comun,most common
verleumdet,calomnie,slandered
ungebildet,Nededucat.,uneducated
unnötiges,inutil,unnecessary
rye,secară,rye
parkuhr,aparat care pontează parcarea,parking meter
penizillin,penicilină,penicillin
serizawa,Serizawa.,Serizawa
sockel,baza,base
cobblepot,Cobblepot,cobblepot
cathys,Caths.,caths
veganer,Vegetarian,vegan
fässern,baracă,barrack
konvertiert,convertit,converted
reality,realitate,reality
schränken,cabinet,cabinet
spanisches,Spaniolă,Spanish
intravenös,intravenos,intravenous
rothaut,Redskin.,redskin
ballen,balot,bale
kegel,con,cone
toole,de asemenea,too
sander,om,man
schranke,dulapuri,cabinets
pardaillan,Pardaralan.,pardaillan
bereisen,voiaj,travel
balthazar,balthazar.,balthazar
nene,Nene.,nene
zersetzt,descompus,decomposed
sacks,sac,sack
melancholisch,melancolic,melancholic
barrikade,baricadă,barricade
jurist,jurist,jurist
félix,Félix.,Félix
fischstäbchen,Betisoare de peste,fish sticks
eidechsen,şopârlă,lizard
fats,gras,fat
schnauzbart,pui de somn,snooze
valdez,Valdez.,Valdez
lukrativ,lucrativ,lucrative
neck,gât,neck
xo,Xo.,Xo
schlafstörungen,tulburari de somn,sleep disorders
anschlägen,atacuri,attacks
sicherheitspersonal,personal de securitate,security personnel
